,system,class
171,An-26 transport aircraft,Aircraft
334,Il-22 airborne command post,Aircraft
335,Il-76 transport aircraft,Aircraft
458,MiG-29 fighter aircraft,Aircraft
459,MiG-31BM fighter aircraft,Aircraft
617,Su-24M strike aircraft,Aircraft
618,Su-24M/MR strike/tactical reconnaissance aircraft,Aircraft
619,Su-24MR tactical reconnaissance aircraft,Aircraft
621,Su-25 close air support aircraft,Aircraft
623,Su-27 fighter aircraft,Aircraft
624,Su-27 multirole aircraft,Aircraft
625,Su-30SM multirole aircraft,Aircraft
626,Su-34 strike aircraft,Aircraft
627,Su-34M strike aircraft,Aircraft
628,Su-35S multirole aircraft,Aircraft
689,Tu-22M3 strategic bomber,Aircraft
690,Tu-95MS strategic bomber,Aircraft
724,Unknown fighter/strike aircraft,Aircraft
736,Unknown Su-30/Su-34/Su-35,Aircraft
94,23mm 23 ItK 61,Anti-Aircraft Guns
95,23mm ZU-23,Anti-Aircraft Guns
96,23mm ZU-23-2,Anti-Aircraft Guns
102,2S1 with ZU-23 AA gun,Armoured Fighting Vehicles
211,BMM-4C Ambulance,Armoured Fighting Vehicles
212,BMM-70 Ambulance,Armoured Fighting Vehicles
213,BMM-80 ambulance,Armoured Fighting Vehicles
229,BMPT Terminator,Armoured Fighting Vehicles
238,BRDM-2,Armoured Fighting Vehicles
240,BRDM-2-based ZS-82 PsyOps vehicle,Armoured Fighting Vehicles
241,BRDM-2L1,Armoured Fighting Vehicles
242,BRDM-2RKhb chemical reconnaissance vehicle,Armoured Fighting Vehicles
252,BRM-1(K) reconnaissance vehicle,Armoured Fighting Vehicles
254,BRM-1K Obr. 2021,Armoured Fighting Vehicles
255,BRM-1K reconnaissance vehicle,Armoured Fighting Vehicles
272,BTR-80-based ZS-88 PsyOps vehicle,Armoured Fighting Vehicles
275,BTR-D,Armoured Fighting Vehicles
286,BTS-4 ARV with ZU-23 AA gun,Armoured Fighting Vehicles
317,GAZ-3344-20 'Aleut' articulated tracked carrier,Armoured Fighting Vehicles
468,MT-LB,Armoured Fighting Vehicles
471,MT-LB with 14.5mm 2M-7 naval gun mount,Armoured Fighting Vehicles
474,MT-LB with BPU-1 turret,Armoured Fighting Vehicles
475,MT-LB with ZU-23 AA gun,Armoured Fighting Vehicles
477,MT-LB-S Ambulance,Armoured Fighting Vehicles
479,MT-LBu,Armoured Fighting Vehicles
481,MT-LBVM and MT-LBVMK,Armoured Fighting Vehicles
482,MT-T multi-purpose tracked transporter,Armoured Fighting Vehicles
713,Unknown AFV,Armoured Fighting Vehicles
719,Unknown BTR-D/BMD-2,Armoured Fighting Vehicles
779,Vepr,Armoured Fighting Vehicles
780,Vityaz DT-10PM articulated tracked carrier,Armoured Fighting Vehicles
781,Vityaz DT-30 articulated tracked carrier,Armoured Fighting Vehicles
258,BTR-60PB,Armoured Personnel Carriers
263,BTR-7,Armoured Personnel Carriers
264,BTR-70,Armoured Personnel Carriers
267,BTR-70M,Armoured Personnel Carriers
269,BTR-80,Armoured Personnel Carriers
273,BTR-80M,Armoured Personnel Carriers
277,BTR-D,Armoured Personnel Carriers
279,BTR-MDM 'Rakushka',Armoured Personnel Carriers
280,BTR-MDM Rakushka,Armoured Personnel Carriers
311,FV103 Spartan,Armoured Personnel Carriers
330,GT-MU AFV converted to APC,Armoured Personnel Carriers
422,M113,Armoured Personnel Carriers
424,M113AS4,Armoured Personnel Carriers
425,M113G3DK/G4DK,Armoured Personnel Carriers
432,Mara-2M,Armoured Personnel Carriers
591,Remdiesel Z-STS Akhmat,Armoured Personnel Carriers
604,Sisu XA-185,Armoured Personnel Carriers
717,Unknown BTR,Armoured Personnel Carriers
718,Unknown BTR-80/BTR-82A,Armoured Personnel Carriers
769,Ural-4320VV,Armoured Personnel Carriers
777,VAB,Armoured Personnel Carriers
784,YPR-765,Armoured Personnel Carriers
44,152mm D-20 gun-howitzer,Artillery Support Vehicles And Equipment
74,1V1003 command and observation vehicle (for 1V198 artillery fire control system),Artillery Support Vehicles And Equipment
75,1V110 BM-21 Grad battery command vehicle,Artillery Support Vehicles And Equipment
76,1V119 artillery fire direction vehicle,Artillery Support Vehicles And Equipment
77,1V13 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
78,1V13(M) battery fire control center,Artillery Support Vehicles And Equipment
79,1V14 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
81,1V15 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
82,1V15M fire control and observation vehicle,Artillery Support Vehicles And Equipment
83,1V16 battalion fire direction vehicle,Artillery Support Vehicles And Equipment
84,1V16M artillery battalion command and staff vehicle,Artillery Support Vehicles And Equipment
85,1V18 'Klyon-1' artillery command and forward observer vehicle,Artillery Support Vehicles And Equipment
99,2F77M transloading vehicle for 2K22M Tunguska-M,Artillery Support Vehicles And Equipment
160,9T452 transporter-loader (for BM-27 'Uragan' MRL),Artillery Support Vehicles And Equipment
549,PRP-4(M) artillery reconnaissance vehicle,Artillery Support Vehicles And Equipment
550,PRP-4A Argus artillery reconnaissance vehicle,Artillery Support Vehicles And Equipment
691,TZM 9T234-2 transporter-loader (for BM-30 Smerch),Artillery Support Vehicles And Equipment
692,TZM-T reloader vehicle (for TOS-1A),Artillery Support Vehicles And Equipment
776,V119 artillery fire direction vehicle,Artillery Support Vehicles And Equipment
154,9S470M1 (or variant thereof) command post (for Buk-M1/2),Command Posts And Communications Stations
155,9S470M1 command vehicle for Buk-M1,Command Posts And Communications Stations
156,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",Command Posts And Communications Stations
180,APE-5 command post,Command Posts And Communications Stations
192,Auriga-1.2V portable satellite communications station,Command Posts And Communications Stations
194,Barnaul-T 9 C932-1 automated system for air defence units,Command Posts And Communications Stations
204,BMD-1KSh-A command vehicle,Command Posts And Communications Stations
218,BMP-1KSh command and staff vehicle,Command Posts And Communications Stations
260,BTR-60PU-12 air defence command vehicle,Command Posts And Communications Stations
261,BTR-60PU-12command vehicle,Command Posts And Communications Stations
262,BTR-60PU-12M air defence command vehicle,Command Posts And Communications Stations
266,BTR-70DI-02 'Svityaz' command and staff vehicle,Command Posts And Communications Stations
294,Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,Command Posts And Communications Stations
352,K1Sh1 command and staff vehicle,Command Posts And Communications Stations
463,MP-1IM signals vehicle,Command Posts And Communications Stations
464,MP-2IM signals vehicle,Command Posts And Communications Stations
465,MPUS-K mobile command post,Command Posts And Communications Stations
499,Orlan-10 UAV control station,Command Posts And Communications Stations
513,P-230T command vehicle,Command Posts And Communications Stations
514,P-240 digital communications vehicle,Command Posts And Communications Stations
515,P-260 Redut-2US communication system,Command Posts And Communications Stations
516,P-260-U signals vehicle (for Redut-2US signal and communications system),Command Posts And Communications Stations
560,R-142N command and staff vehicle,Command Posts And Communications Stations
561,R-145BM command vehicle,Command Posts And Communications Stations
563,R-145BM1 command vehicle,Command Posts And Communications Stations
564,R-145BMA command vehicle,Command Posts And Communications Stations
565,R-149AKSh-1 command and signals vehicle,Command Posts And Communications Stations
567,R-149MA1 command and staff vehicle,Command Posts And Communications Stations
568,R-149MA3 command and staff vehicle,Command Posts And Communications Stations
570,R-166-0.5 signals vehicle,Command Posts And Communications Stations
576,R-381T2M 1.5-3000 MHz radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex,Command Posts And Communications Stations
577,R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex,Command Posts And Communications Stations
578,R-405M radio station vehicle,Command Posts And Communications Stations
579,R-409A radio station vehicle,Command Posts And Communications Stations
581,R-419L1 communications station,Command Posts And Communications Stations
582,R-431AM antenna module for the Redut-2US communications system,Command Posts And Communications Stations
583,R-439-MD2 SatCom Station,Command Posts And Communications Stations
584,R-441 SatCom station,Command Posts And Communications Stations
588,Radio relay station for the TB2 UCAV,Command Posts And Communications Stations
721,Unknown communications station,Command Posts And Communications Stations
722,Unknown communications station based on the KamAZ 6x6,Command Posts And Communications Stations
179,APA-80 engine starting vehicle,Engineering Vehicles And Equipment
185,ARS-14 decontamination and degassing vehicle,Engineering Vehicles And Equipment
196,BAT-2 heavy engineering vehicle,Engineering Vehicles And Equipment
206,BMK-130M/BMK-150 towing and motor boat,Engineering Vehicles And Equipment
207,BMK-460 towing and motor boat,Engineering Vehicles And Equipment
209,BMK-MO towing and motor boat,Engineering Vehicles And Equipment
210,BMK-MT towing and motor boat,Engineering Vehicles And Equipment
244,BREM-1 armoured recovery vehicle,Engineering Vehicles And Equipment
246,BREM-2 armoured recovery vehicle,Engineering Vehicles And Equipment
247,BREM-Ch ''BREM-4'' armoured recovery vehicle,Engineering Vehicles And Equipment
249,BREM-D armoured recovery vehicle,Engineering Vehicles And Equipment
250,BREM-K armoured recovery vehicle,Engineering Vehicles And Equipment
285,BTS-4 armoured recovery vehicle,Engineering Vehicles And Equipment
287,BTS-4A armoured recovery vehicle,Engineering Vehicles And Equipment
299,ED2x30-T400-3RA mobile generator,Engineering Vehicles And Equipment
325,GMZ-3 minelayer,Engineering Vehicles And Equipment
336,IMR-2 combat engineering vehicle,Engineering Vehicles And Equipment
337,IMR-2(M) combat engineering vehicle,Engineering Vehicles And Equipment
338,IMR-3M combat engineering vehicle,Engineering Vehicles And Equipment
341,IRM 'Zhuk' engineer reconnaissance vehicle,Engineering Vehicles And Equipment
342,IRM 'Zhuk' Engineer Reconnaissance Vehicle,Engineering Vehicles And Equipment
343,ISDM Zemledeliye remote mine-laying system,Engineering Vehicles And Equipment
364,KamAZ KMV-10V boom crane truck,Engineering Vehicles And Equipment
370,KamAZ-5350 with EOV-3523 excavator,Engineering Vehicles And Equipment
371,KamAZ-5350 with KS-45719-7M crane,Engineering Vehicles And Equipment
373,KamAZ-63501 with KS-55729-7M 32-ton crane,Engineering Vehicles And Equipment
386,KrAZ-255B,Engineering Vehicles And Equipment
388,KrAZ-255B pontoon bridge layer,Engineering Vehicles And Equipment
390,KrAZ-255B with excavator,Engineering Vehicles And Equipment
393,KrAZ-260,Engineering Vehicles And Equipment
395,KrAZ-260 pontoon bridge layer,Engineering Vehicles And Equipment
399,KrAZ-6322 Master mobile workshop,Engineering Vehicles And Equipment
440,MDK-3 trench-digging vehicle,Engineering Vehicles And Equipment
461,Mobile generator for Podlet-K1 low-altitude S-band surveillance radar,Engineering Vehicles And Equipment
483,MTO-AG-3M,Engineering Vehicles And Equipment
484,MTO-AT mobile workshop,Engineering Vehicles And Equipment
486,MTO-UB1 maintenance vehicle,Engineering Vehicles And Equipment
488,MTP-A2 recovery vehicle,Engineering Vehicles And Equipment
489,MTP-A2.1 recovery vehicle,Engineering Vehicles And Equipment
490,MTU-72 bridge layer,Engineering Vehicles And Equipment
491,MZA-M.1 battery charge and repair workshop,Engineering Vehicles And Equipment
526,PMP floating bridge,Engineering Vehicles And Equipment
528,Pontoon bridge,Engineering Vehicles And Equipment
531,PP-2005 floating bridge,Engineering Vehicles And Equipment
556,PTS-2 tracked amphibious transport,Engineering Vehicles And Equipment
558,PZM-2 trench-digging vehicle,Engineering Vehicles And Equipment
590,REM-KL recovery vehicle,Engineering Vehicles And Equipment
593,RKhM 'Kashalot',Engineering Vehicles And Equipment
594,RKhM-6 CBRN reconnaissance vehicle,Engineering Vehicles And Equipment
595,RKhM-6 Povozka,Engineering Vehicles And Equipment
596,RKhM-6 Povozka CBRN reconnaissance vehicle,Engineering Vehicles And Equipment
637,T-64 mine clearing roller tank,Engineering Vehicles And Equipment
683,TDA-3 mobile smoke generator,Engineering Vehicles And Equipment
684,TMM-3 bridge layer,Engineering Vehicles And Equipment
685,TMM-3M1 bridge layer,Engineering Vehicles And Equipment
709,UMP-350 engine heater,Engineering Vehicles And Equipment
749,UR-67 mine clearing charge on BTR-D APC,Engineering Vehicles And Equipment
750,UR-77 'Meteorit' mine clearing vehicle,Engineering Vehicles And Equipment
760,Ural-4320 KET-L recovery vehicle,Engineering Vehicles And Equipment
762,Ural-4320 KT-L recovery vehicle,Engineering Vehicles And Equipment
766,Ural-4320 with excavator,Engineering Vehicles And Equipment
767,Ural-4320 with KS-3574M3 or KS-3574M crane,Engineering Vehicles And Equipment
775,Uran-6 mine-clearing robotic system,Engineering Vehicles And Equipment
165,Airbus H225 transport helicopter,Helicopters
353,Ka-52 'Alligator' attack helicopter,Helicopters
444,Mi-14 maritime helicopter,Helicopters
446,Mi-2 training helicopter,Helicopters
447,Mi-24 attack helicopter,Helicopters
448,Mi-24P attack helicopter,Helicopters
450,Mi-24P/35M attack helicopter,Helicopters
451,Mi-24V/P attack helicopter,Helicopters
452,Mi-24V/P/35M attack helicopter,Helicopters
453,Mi-28 attack helicopter,Helicopters
454,Mi-35M attack helicopter,Helicopters
455,Mi-8 transport helicopter,Helicopters
726,Unknown helicopter,Helicopters
205,BMD-4M,Infantry Fighting Vehicles
214,BMO-T,Infantry Fighting Vehicles
215,BMP-1(P),Infantry Fighting Vehicles
217,BMP-1AM,Infantry Fighting Vehicles
220,BMP-1TS,Infantry Fighting Vehicles
221,BMP-1U 'Shkval',Infantry Fighting Vehicles
222,BMP-2 675-sb3KDZ,Infantry Fighting Vehicles
223,BMP-2(K),Infantry Fighting Vehicles
225,BMP-2M,Infantry Fighting Vehicles
226,BMP-2M Berezhok,Infantry Fighting Vehicles
227,BMP-3,Infantry Fighting Vehicles
228,BMP-3 688M sb. 3KDZ,Infantry Fighting Vehicles
256,BTR-3,Infantry Fighting Vehicles
257,BTR-4,Infantry Fighting Vehicles
274,BTR-82A(M),Infantry Fighting Vehicles
284,BTR-ZD:,Infantry Fighting Vehicles
290,BVP M-80A,Infantry Fighting Vehicles
478,MT-LBM 6MB,Infantry Fighting Vehicles
521,Pbv 501A,Infantry Fighting Vehicles
547,PRP-3 with a BMD-2 turret,Infantry Fighting Vehicles
715,Unknown BMP-1/2,Infantry Fighting Vehicles
168,AMN-590951,Infantry Mobility Vehicles
189,AT105A Saxon,Infantry Mobility Vehicles
313,GAZ Tigr,Infantry Mobility Vehicles
314,GAZ Tigr-M,Infantry Mobility Vehicles
318,GAZ-3937 Vodnik,Infantry Mobility Vehicles
332,HMMWV Ambulance,Infantry Mobility Vehicles
333,Husky Tactical Support Vehicle,Infantry Mobility Vehicles
339,INKAS Titan-S,Infantry Mobility Vehicles
346,Iveco LMV,Infantry Mobility Vehicles
347,Iveco LMV Rys,Infantry Mobility Vehicles
376,Kozak-2,Infantry Mobility Vehicles
377,Kozak-2M1,Infantry Mobility Vehicles
378,Kozak-5,Infantry Mobility Vehicles
379,Kozak-7,Infantry Mobility Vehicles
380,KrAZ Cobra,Infantry Mobility Vehicles
381,KrAZ Cougar,Infantry Mobility Vehicles
382,KrAZ Spartan,Infantry Mobility Vehicles
419,M1114 and M1151 HMMWV,Infantry Mobility Vehicles
426,M1152 HMMWV,Infantry Mobility Vehicles
430,M998 HMMWV,Infantry Mobility Vehicles
460,MLS Shield,Infantry Mobility Vehicles
466,MSh-5350.1 command vehicle,Infantry Mobility Vehicles
467,MSL Shield,Infantry Mobility Vehicles
493,Novator,Infantry Mobility Vehicles
519,Panthera T6,Infantry Mobility Vehicles
599,Roshel Senator,Infantry Mobility Vehicles
687,Triton-1,Infantry Mobility Vehicles
728,Unknown IMV,Infantry Mobility Vehicles
778,Varta,Infantry Mobility Vehicles
69,1L262E Rtut-BM,Jammers And Deception Systems
73,1RL257 Krasukha-4 (command post),Jammers And Deception Systems
407,L262E Rtut-BM,Jammers And Deception Systems
411,Leer-2 electronic warfare system,Jammers And Deception Systems
412,Leer-3 electronic warfare system,Jammers And Deception Systems
492,NOTA,Jammers And Deception Systems
518,Palantin electronic warfare system,Jammers And Deception Systems
572,R-330BMV and R-394BMV Borisoglebsk-2B,Jammers And Deception Systems
573,R-330BMV Borisoglebsk-2B,Jammers And Deception Systems
575,R-330ZH Zhitel,Jammers And Deception Systems
586,R-934B 'Sinitsa' automated jamming station,Jammers And Deception Systems
587,R-934UM,Jammers And Deception Systems
589,RB-636AM2 Svet-KU EW system,Jammers And Deception Systems
597,RL257 Krasukha-4 (command post),Jammers And Deception Systems
598,RLK-MC-A (ROSC-1) counter-UAV system,Jammers And Deception Systems
603,Silok-01 counter-UAV system,Jammers And Deception Systems
616,Strizh-3 counter-UAV system,Jammers And Deception Systems
686,Torn(-MDM),Jammers And Deception Systems
723,Unknown EW system,Jammers And Deception Systems
167,Alvis 4 'Mamba',Mine-Resistant Ambush Protected (MRAP) Vehicles
190,ATF Dingo,Mine-Resistant Ambush Protected (MRAP) Vehicles
201,BMC Kirpi,Mine-Resistant Ambush Protected (MRAP) Vehicles
237,BPM-97 Vystrel,Mine-Resistant Ambush Protected (MRAP) Vehicles
289,Bushmaster Protected Mobility Vehicle,Mine-Resistant Ambush Protected (MRAP) Vehicles
340,International M1224 MaxxPro,Mine-Resistant Ambush Protected (MRAP) Vehicles
350,K-53949 Linza,Mine-Resistant Ambush Protected (MRAP) Vehicles
351,K-53949 Typhoon-K,Mine-Resistant Ambush Protected (MRAP) Vehicles
368,KamAZ-435029 Patrol-A,Mine-Resistant Ambush Protected (MRAP) Vehicles
374,KamAZ-63968 Typhoon,Mine-Resistant Ambush Protected (MRAP) Vehicles
403,KrAZ-MPV Shrek One,Mine-Resistant Ambush Protected (MRAP) Vehicles
433,Mastiff Protected Patrol,Mine-Resistant Ambush Protected (MRAP) Vehicles
783,Wolfhound Protected Patrol,Mine-Resistant Ambush Protected (MRAP) Vehicles
20,122mm 2B17 Tornado-G,Multiple Rocket Launchers
21,122mm 2B26 Grad-K,Multiple Rocket Launchers
24,122mm 9P138 Grad-1,Multiple Rocket Launchers
25,122mm Bastion-1,Multiple Rocket Launchers
26,122mm BM-21 Grad,Multiple Rocket Launchers
30,122mm RM-70,Multiple Rocket Launchers
90,220mm BM-27 Uragan,Multiple Rocket Launchers
92,220mm Bureviy,Multiple Rocket Launchers
93,220mm TOS-1A,Multiple Rocket Launchers
103,300mm BM-30 Smerch,Multiple Rocket Launchers
120,80mm B-8 makeshift MRL,Multiple Rocket Launchers
729,Unknown MRL,Multiple Rocket Launchers
1,APA-80 engine starting vehicle,Engineering Vehicles And Equipment
15,120mm Alakran mortar carrier,Self-Propelled Artillery
17,120mm BRM-1K with 2S9 Nona turret,Self-Propelled Artillery
19,120mm self-propelled gun <U+041C>1064<U+0410>3,Self-Propelled Artillery
50,155mm AS-90,Self-Propelled Artillery
53,155mm FH-70 howitzer,Towed Artillery
55,155mm M109A3/A4/A5//A6L,Self-Propelled Artillery
60,155mm TRF1 howitzer,Towed Artillery
67,1L259 Zoopark-1,Radars
88,203mm 2S7(M) Malka,Self-Propelled Artillery
106,55K6A command post for S-400,Command Posts And Communications Stations
110,5P851A (Launcher for S-300PT-1A),Surface-To-Air Missile Systems
119,79K6 'Pelikan' 3D surveillance radar,Radars And Communications Equipment
123,92N6A multi-functional radar,Radars
135,9A84-2 (launcher for S-300V4),Surface-To-Air Missile Systems
146,9S18 'Tube Arm' radar variant for the Buk missile system,Radars
149,9S18<U+041C>1(-2) (for Buk-M2),Radars
150,9S18<U+041C>1(-3) (for Buk-M3),Radars
